entity,year,gdp_pc,repression,iv_repression,gross_fixed_capital_formation_perecent_of_gdp,trade_percentageof_gdp,inflation_consumer_prices_annual_perecentage_growth,population_growth_annual_percentage,expenditure_on_education,ln_gdp_pc
Lithuania,2016,14823.10715,2.861,0.975,19.91901691,134.6904497,0.905525075,-1.167306516,13.96282291,9.603942536118915
Lithuania,2017,15695.99933,2.861,0.975,20.1373564,144.9183931,3.722888623,-1.212819702,13.67827892,9.661161139119109
Lithuania,2018,16604.90214,2.861,0.975,20.69208914,147.2021325,2.697927792,-0.82796893,13.31840992,9.71745324038788
Lithuania,2019,17431.72391,2.861,0.975,21.20030992,148.374996,2.33450938,-0.288120401,13.27595139,9.766047038385217
Lithuania,2020,17443.65526,2.861,0.975,21.43371578,135.7965656,1.19989445,-0.02561613,12.17055798,9.76673126609826
Lithuania,2021,18569.70572,2.861,0.951,22.48592626,154.8067277,4.683544209,-0.070798681,12.74449539,9.829286807156027
Luxembourg,1995,74896.09645,2.303,0.961,21.15284281,189.5444459,1.86769425,1.404742464,10.99394131,11.223857051324751
Luxembourg,1996,74916.50739,2.303,0.961,19.83972967,195.6369066,1.183859688,1.361143941,11.13945007,11.22412953761233
Luxembourg,1997,77993.05737,2.303,0.961,20.62700261,212.0887579,1.367512612,1.253502484,10.98373604,11.264375093633351
Luxembourg,1998,82170.23925,2.303,0.961,21.16744906,236.570015,0.95857011,1.243870803,11.40472031,11.316548462567582
Luxembourg,1999,87695.33909,2.303,0.961,23.15958641,239.9224996,1.025196765,1.350621285,11.3774147,11.381624030881838
Luxembourg,2000,92527.71087,2.303,0.961,20.62506061,272.4123268,3.15076707,1.344082996,11.22895527,11.435263455609268
Luxembourg,2001,94243.70684,2.303,0.961,21.87915949,270.7656304,2.663821106,1.190456345,11.55656242,11.453639332152598
Luxembourg,2002,96269.57975,2.303,0.961,21.30267872,250.6891982,2.074086136,1.047660816,11.07296467,11.474907657435798
Luxembourg,2003,97597.99732,2.303,0.961,21.04899756,244.9779461,2.049840306,1.21520088,11.24683952,11.488612252928366
Luxembourg,2004,100292.5669,2.303,0.961,21.24328209,265.2268849,2.225679164,1.421332565,11.24547768,11.515846862529866
Luxembourg,2005,101222.0444,2.303,0.961,19.34779138,284.0774769,2.487696652,1.530054663,11.1862402,11.52507184215351
Luxembourg,2006,105614.1789,2.303,0.961,18.21505429,305.8795475,2.666314946,1.595051918,11.25576782,11.567547911127267
Luxembourg,2007,112417.877,2.303,0.961,18.91763814,307.4850201,2.312458618,1.544386847,11.44878483,11.629978251837633
Luxembourg,2008,110094.7915,2.303,0.961,20.14408357,292.2134808,3.40187963,1.787496632,11.46240902,11.609097014598118
Luxembourg,2009,104574.349,2.303,0.961,18.01924742,263.5327015,0.368041998,1.85177523,11.43537426,11.557653571093796
Luxembourg,2010,106544.0574,2.303,0.961,16.8240878,293.6718769,2.273679116,1.825405804,11.97875595,11.576313863094814
Luxembourg,2011,105290.249,2.303,0.961,19.21325376,308.7144539,3.410683411,2.222660503,12.07392025,11.56447609174496
Luxembourg,2012,104487.7443,2.303,0.961,19.17753161,311.7868352,2.662841655,2.4015419,12.16429424,11.556825064083396
Luxembourg,2013,105338.9555,2.303,0.961,18.45427294,320.5335063,1.734039635,2.311176253,11.37988663,11.564938577476545
Luxembourg,2014,105583.9373,2.303,0.961,19.1517355,333.4288532,0.628543985,2.356978705,11.37362766,11.567261529783051
Luxembourg,2015,105462.0126,2.303,0.961,17.30945547,351.1319744,0.474743161,2.359951181,11.23104382,11.56610609691526
Luxembourg,2016,108351.4518,2.303,0.961,17.2848389,348.4374094,0.290833333,2.155311988,11.16849136,11.593135406044096
Luxembourg,2017,107142.1267,2.303,0.961,17.81132299,353.793992,1.730799591,2.430976418,11.04328918,11.581911518967274
Luxembourg,2018,106788.7287,2.303,0.961,16.15162456,361.8654452,1.528195243,1.928837514,11.10425758,11.578607663422007
Luxembourg,2019,107591.9659,2.303,0.961,18.04838194,382.6607806,1.743320757,1.96284492,11.18255234,11.586101257565273
Luxembourg,2020,105274.2472,2.303,0.961,17.17515094,375.5813964,0.819957302,1.666358674,10.65698624,11.564324102209026
Luxembourg,2021,110873.1852,2.303,0.961,18.14527096,397.5061809,2.526920091,1.518349367,11.00318336,11.616142351495963
Luxembourg,2022,107467.1871,2.303,0.961,16.60136142,412.1771699,6.336008078,2.016667902,10.74243736,11.58494084367671
Madagascar,1981,599.7810477,-0.102,0.449,35.68788596,23.53336564,30.53817743,2.986039278,14.89931011,6.396564668116458
Madagascar,1982,571.2304614,-0.102,0.449,26.3480536,21.37757425,31.78970465,2.958911029,16.53528976,6.347792738384959
Madagascar,1983,559.6611689,-0.102,0.449,25.99914214,19.28969747,19.32833859,2.942093468,16.78964043,6.327331545073511
Madagascar,1984,553.1310099,-0.102,0.449,26.82163614,23.26467082,9.856620954,2.918536551,18.32389069,6.3155948810590985
Madagascar,1985,543.5136847,-0.102,0.449,18.76390559,22.43931957,10.55648396,2.903709173,16.62018013,6.298054885085129
Madagascar,1993,476.1597333,0.804,0.648,37.87512495,32.86588893,10.0083612,3.050253563,12.31729984,6.165753372098669
Madagascar,1997,451.3031994,0.302,0.6,10.1519133,36.87374778,4.486382617,3.255054712,10.64441013,6.112139396105412
Madagascar,1998,453.8861748,0.302,0.6,12.24653094,37.33218701,6.208016087,3.271598133,9.382769585,6.117846450307203
Madagascar,1999,460.03439,0.302,0.6,12.2933453,40.92441202,9.929533993,3.24667519,15.5387001,6.131301247558251
Madagascar,2000,465.5295098,0.463,0.617,11.93054641,42.77712266,11.8596845,3.172972608,15.89050961,6.1431754884779615
Madagascar,2001,478.4056149,0.463,0.617,14.50921734,41.03512609,7.916944845,3.079898477,17.68247032,6.1704589393986495
Madagascar,2002,406.7012221,-1.211,0.413,10.97024314,50.18169194,16.49852553,2.989993505,17.93675995,6.008078817826294
Madagascar,2003,433.6010403,0.256,0.654,13.72456569,34.03060292,-1.704004796,2.93067077,15.76313972,6.072124849338426
Madagascar,2004,443.278655,0.91,0.739,21.15102512,48.77538189,13.9558018,2.916108611,12.96076965,6.094198590354888
Madagascar,2005,450.9552309,0.91,0.743,19.3271127,59.13008494,18.36382465,2.929269371,18.03303909,6.111368068278336
Madagascar,2006,461.5403379,0.91,0.743,20.311268,62.10283894,10.76563716,2.937691079,15.32419014,6.134569456190391
Madagascar,2007,473.7854623,0.91,0.743,26.33136613,66.70273536,10.28796632,2.934949508,18.04454994,6.160754608054284
Madagascar,2008,490.9639354,0.91,0.762,37.7908727,74.35735396,9.296508394,2.935329273,16.25814056,6.1963706737730115
Madagascar,2009,457.7897549,-0.032,0.467,37.15833588,62.4116976,8.954218024,2.936041173,22.58583069,6.126410028281596
Madagascar,2010,447.417143,0.267,0.506,25.88589412,57.87489451,9.247321736,2.909196621,20.4021244,6.103491365264287
Madagascar,2011,441.7551584,0.267,0.506,24.68602481,56.4830926,9.482540486,2.839657144,19.77969933,6.090755788324611
Madagascar,2012,442.6415001,0.084,0.481,23.36572814,52.65171408,5.713844342,2.766263126,22.18053818,6.092760187568388
Madagascar,2013,440.6746589,0.245,0.581,19.75481036,56.36758179,5.826429445,2.7196484,13.98937988,6.088306868265892
